product_line,side,period,version,nii,nii_customer,nii_ftp,fee_income,opex,lending_volume,rwa,allocated_capital,loan_impairment,customer_rate,ftp_rate
Investor Services,other,2026-02-01,Actual,3.91,0.0,0.0,56.36,41.16,0.0,8500.0,1190.0,0.0,0.00175,0.005537
Investor Services,other,2026-03-01,Actual,3.61,0.0,0.0,57.5,38.81,0.0,8500.0,1190.0,0.0,0.002429,0.005609
Investor Services,other,2026-04-01,Actual,3.74,0.0,0.0,63.87,38.73,0.0,8500.0,1190.0,0.0,0.00233,0.003929
Lending & Specialised Finance,lending,2025-01-01,Actual,358.18,1149.04,790.85,42.2,92.78,243184.1,195409.5,27357.33,18.61,0.0567,0.039025
Lending & Specialised Finance,lending,2025-02-01,Actual,389.87,1146.93,757.06,43.76,93.64,238420.9,195819.9,27414.78,22.79,0.057726,0.038104
Lending & Specialised Finance,lending,2025-03-01,Actual,390.54,1137.3,746.76,50.79,90.86,237828.5,196231.1,27472.35,24.6,0.057384,0.037679
Lending & Specialised Finance,lending,2025-04-01,Actual,351.4,1126.74,775.34,36.72,92.2,240472.4,196643.2,27530.04,29.94,0.056226,0.038691
Lending & Specialised Finance,lending,2025-05-01,Actual,325.35,1113.14,787.79,41.72,94.85,240052.3,197056.1,27587.86,52.87,0.055645,0.039381
Lending & Specialised Finance,lending,2025-06-01,Actual,443.21,1212.61,769.4,39.17,92.74,242235.7,197469.9,27645.79,34.23,0.060071,0.038115
Lending & Specialised Finance,lending,2025-07-01,Actual,305.3,1131.55,826.24,38.91,93.19,241050.7,197884.6,27703.85,39.16,0.056331,0.041132
Lending & Specialised Finance,lending,2025-08-01,Actual,347.26,1162.09,814.83,41.74,92.01,245034.7,198300.2,27762.03,162.5,0.056911,0.039904
Lending & Specialised Finance,lending,2025-09-01,Actual,347.89,1182.84,834.95,44.05,87.97,241127.4,198716.6,27820.33,20.67,0.058865,0.041552
Lending & Specialised Finance,lending,2025-10-01,Actual,322.15,1186.72,864.57,38.44,93.92,243151.2,199133.9,27878.75,21.27,0.058567,0.042668
Lending & Specialised Finance,lending,2025-11-01,Actual,395.04,1199.18,804.14,46.86,92.15,246533.1,199552.1,27937.29,28.53,0.05837,0.039142
Lending & Specialised Finance,lending,2025-12-01,Actual,304.31,1174.86,870.55,52.37,87.56,247899.3,199971.2,27995.96,28.87,0.056871,0.042141
Lending & Specialised Finance,lending,2026-01-01,Actual,328.41,1176.05,847.65,42.22,90.81,245790.6,200391.1,28054.75,49.98,0.057417,0.041384
Lending & Specialised Finance,lending,2026-02-01,Actual,356.73,1181.47,824.74,50.31,89.61,249697.9,200811.9,28113.67,29.97,0.056779,0.039635
Lending & Specialised Finance,lending,2026-03-01,Actual,269.43,1201.8,932.37,43.1,89.7,248660.5,201233.6,28172.71,26.73,0.057997,0.044995
Lending & Specialised Finance,lending,2026-04-01,Actual,343.4,1200.74,857.34,43.33,92.68,246063.7,201656.2,28231.87,14.88,0.058558,0.041811
Markets,other,2025-01-01,Actual,32.42,0.0,0.0,131.6,76.17,0.0,90000.0,12600.0,0.0,-0.000999,-0.004055
Markets,other,2025-02-01,Actual,36.18,0.0,0.0,136.41,78.23,0.0,90000.0,12600.0,0.0,0.00144,-0.00018
Markets,other,2025-03-01,Actual,35.74,0.0,0.0,151.94,79.96,0.0,90000.0,12600.0,0.0,0.002218,0.002387
Markets,other,2025-04-01,Actual,33.7,0.0,0.0,116.68,78.05,0.0,90000.0,12600.0,0.0,0.001717,0.001303
Markets,other,2025-05-01,Actual,36.43,0.0,0.0,147.72,80.53,0.0,90000.0,12600.0,0.0,0.001275,0.000702
Markets,other,2025-06-01,Actual,33.58,0.0,0.0,139.86,76.54,0.0,90000.0,12600.0,0.0,0.001217,0.000663
Markets,other,2025-07-01,Actual,33.24,0.0,0.0,131.75,73.64,0.0,90000.0,12600.0,0.0,0.00226,-0.000162
Markets,other,2025-08-01,Actual,35.2,0.0,0.0,132.9,77.8,0.0,90000.0,12600.0,0.0,0.000899,0.001091
Markets,other,2025-09-01,Actual,35.21,0.0,0.0,153.1,77.81,0.0,90000.0,12600.0,0.0,0.001446,0.002077
Markets,other,2025-10-01,Actual,34.33,0.0,0.0,133.51,79.08,0.0,90000.0,12600.0,0.0,0.001726,0.004595
Markets,other,2025-11-01,Actual,33.47,0.0,0.0,148.02,74.51,0.0,90000.0,12600.0,0.0,0.001874,0.00622
Markets,other,2025-12-01,Actual,34.45,0.0,0.0,156.76,77.45,0.0,90000.0,12600.0,0.0,0.001752,0.002365
Markets,other,2026-01-01,Actual,35.83,0.0,0.0,126.13,78.42,0.0,90000.0,12600.0,0.0,0.003489,0.005819
Markets,other,2026-02-01,Actual,34.33,0.0,0.0,147.94,75.02,0.0,90000.0,12600.0,0.0,0.004286,0.007196
Markets,other,2026-03-01,Actual,36.98,0.0,0.0,132.79,75.47,0.0,90000.0,12600.0,0.0,0.004215,0.004244
Markets,other,2026-04-01,Actual,35.5,0.0,0.0,131.97,76.87,0.0,90000.0,12600.0,0.0,0.003283,0.003727
Transaction Banking,deposit,2025-01-01,Actual,203.99,252.13,456.12,90.0,67.81,147535.0,58121.8,8137.05,1.52,0.020508,0.037099
Transaction Banking,deposit,2025-02-01,Actual,175.12,269.91,445.03,84.53,69.36,149732.6,58243.9,8154.14,0.99,0.021632,0.035666
Transaction Banking,deposit,2025-03-01,Actual,201.68,268.42,470.1,110.86,67.91,146794.4,58366.2,8171.26,1.67,0.021942,0.038429
Transaction Banking,deposit,2025-04-01,Actual,226.48,258.14,484.62,107.42,69.69,148714.4,58488.7,8188.42,1.37,0.020829,0.039105
Transaction Banking,deposit,2025-05-01,Actual,200.93,268.03,468.96,100.19,68.0,149900.1,58611.6,8205.62,1.59,0.021457,0.037542
Transaction Banking,deposit,2025-06-01,Actual,176.53,288.63,465.16,100.14,70.03,149928.9,58734.6,8222.85,1.44,0.023102,0.037231
Transaction Banking,deposit,2025-07-01,Actual,212.11,283.55,495.66,97.81,70.23,151166.3,58858.0,8240.12,1.72,0.022509,0.039347
Transaction Banking,deposit,2025-08-01,Actual,248.74,278.27,527.01,79.67,71.42,153736.8,58981.6,8257.42,0.79,0.02172,0.041136
Transaction Banking,deposit,2025-09-01,Actual,195.95,264.36,460.31,125.92,64.65,151420.9,59105.5,8274.76,1.1,0.02095,0.03648
Transaction Banking,deposit,2025-10-01,Actual,197.06,290.61,487.67,92.72,72.97,151078.9,59229.6,8292.14,1.67,0.023083,0.038735
Transaction Banking,deposit,2025-11-01,Actual,197.46,267.04,464.49,101.25,68.66,148855.4,59354.0,8309.55,1.7,0.021527,0.037445
Transaction Banking,deposit,2025-12-01,Actual,199.41,306.32,505.73,124.73,72.16,151639.6,59478.6,8327.0,1.76,0.02424,0.040021
Transaction Banking,deposit,2026-01-01,Actual,204.6,290.53,495.13,84.26,68.11,152958.3,59603.5,8344.49,1.7,0.022793,0.038844
Transaction Banking,deposit,2026-02-01,Actual,243.44,276.04,519.48,99.02,66.76,150874.0,59728.7,8362.01,0.82,0.021956,0.041318
Transaction Banking,deposit,2026-03-01,Actual,237.91,287.37,525.28,123.73,67.69,156650.5,59854.1,8379.57,1.22,0.022014,0.040238
Transaction Banking,deposit,2026-04-01,Actual,273.4,298.2,571.59,96.21,67.19,157347.5,59979.8,8397.17,1.08,0.022742,0.043592
Asset Management,other,2025-01-01,Budget,4.58,0.0,0.0,90.47,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2025-02-01,Budget,4.58,0.0,0.0,95.38,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2025-03-01,Budget,4.58,0.0,0.0,104.23,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2025-04-01,Budget,4.58,0.0,0.0,95.38,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2025-05-01,Budget,4.58,0.0,0.0,97.35,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2025-06-01,Budget,4.58,0.0,0.0,103.25,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2025-07-01,Budget,4.58,0.0,0.0,92.43,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2025-08-01,Budget,4.58,0.0,0.0,93.42,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2025-09-01,Budget,4.58,0.0,0.0,102.27,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2025-10-01,Budget,4.58,0.0,0.0,98.33,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2025-11-01,Budget,4.58,0.0,0.0,99.32,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2025-12-01,Budget,4.58,0.0,0.0,108.17,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2026-01-01,Budget,4.58,0.0,0.0,90.47,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2026-02-01,Budget,4.58,0.0,0.0,95.38,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2026-03-01,Budget,4.58,0.0,0.0,104.23,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2026-04-01,Budget,4.58,0.0,0.0,95.38,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2026-05-01,Budget,4.58,0.0,0.0,97.35,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2026-06-01,Budget,4.58,0.0,0.0,103.25,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2026-07-01,Budget,4.58,0.0,0.0,92.43,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2026-08-01,Budget,4.58,0.0,0.0,93.42,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2026-09-01,Budget,4.58,0.0,0.0,102.27,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2026-10-01,Budget,4.58,0.0,0.0,98.33,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2026-11-01,Budget,4.58,0.0,0.0,99.32,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Asset Management,other,2026-12-01,Budget,4.58,0.0,0.0,108.17,60.83,0.0,11000.0,1540.0,0.0,0.0,0.0
Investor Services,other,2025-01-01,Budget,3.5,0.0,0.0,59.03,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2025-02-01,Budget,3.5,0.0,0.0,62.24,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2025-03-01,Budget,3.5,0.0,0.0,68.02,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2025-04-01,Budget,3.5,0.0,0.0,62.24,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2025-05-01,Budget,3.5,0.0,0.0,63.53,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2025-06-01,Budget,3.5,0.0,0.0,67.38,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2025-07-01,Budget,3.5,0.0,0.0,60.32,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2025-08-01,Budget,3.5,0.0,0.0,60.96,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2025-09-01,Budget,3.5,0.0,0.0,66.73,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2025-10-01,Budget,3.5,0.0,0.0,64.17,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2025-11-01,Budget,3.5,0.0,0.0,64.81,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2025-12-01,Budget,3.5,0.0,0.0,70.58,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2026-01-01,Budget,3.5,0.0,0.0,59.03,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2026-02-01,Budget,3.5,0.0,0.0,62.24,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2026-03-01,Budget,3.5,0.0,0.0,68.02,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2026-04-01,Budget,3.5,0.0,0.0,62.24,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2026-05-01,Budget,3.5,0.0,0.0,63.53,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2026-06-01,Budget,3.5,0.0,0.0,67.38,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2026-07-01,Budget,3.5,0.0,0.0,60.32,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2026-08-01,Budget,3.5,0.0,0.0,60.96,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2026-09-01,Budget,3.5,0.0,0.0,66.73,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2026-10-01,Budget,3.5,0.0,0.0,64.17,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2026-11-01,Budget,3.5,0.0,0.0,64.81,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Investor Services,other,2026-12-01,Budget,3.5,0.0,0.0,70.58,40.0,0.0,8500.0,1190.0,0.0,0.0,0.0
Lending & Specialised Finance,lending,2025-01-01,Budget,370.93,1122.8,751.88,39.87,91.67,240600.0,195487.5,27368.25,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2025-02-01,Budget,371.85,1125.61,753.75,42.03,91.67,241201.5,195976.2,27436.67,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2025-03-01,Budget,372.78,1128.42,755.64,45.93,91.67,241804.5,196466.2,27505.26,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2025-04-01,Budget,373.71,1131.24,757.53,42.03,91.67,242409.0,196957.3,27574.03,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2025-05-01,Budget,374.65,1134.07,759.42,42.9,91.67,243015.0,197449.7,27642.96,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2025-06-01,Budget,375.58,1136.91,761.32,45.5,91.67,243622.6,197943.3,27712.07,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2025-07-01,Budget,376.52,1139.75,763.22,40.73,91.67,244231.6,198438.2,27781.35,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2025-08-01,Budget,377.47,1142.6,765.13,41.17,91.67,244842.2,198934.3,27850.8,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2025-09-01,Budget,378.41,1145.45,767.04,45.07,91.67,245454.3,199431.6,27920.43,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2025-10-01,Budget,379.35,1148.32,768.96,43.33,91.67,246068.0,199930.2,27990.23,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2025-11-01,Budget,380.3,1151.19,770.88,43.77,91.67,246683.1,200430.0,28060.21,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2025-12-01,Budget,381.25,1154.07,772.81,47.67,91.67,247299.8,200931.1,28130.36,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2026-01-01,Budget,382.21,1156.95,774.74,39.87,91.67,247918.1,201433.4,28200.68,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2026-02-01,Budget,383.16,1159.84,776.68,42.03,91.67,248537.9,201937.0,28271.18,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2026-03-01,Budget,384.12,1162.74,778.62,45.93,91.67,249159.2,202441.9,28341.86,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2026-04-01,Budget,385.08,1165.65,780.57,42.03,91.67,249782.1,202948.0,28412.72,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2026-05-01,Budget,386.04,1168.56,782.52,42.9,91.67,250406.6,203455.3,28483.75,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2026-06-01,Budget,387.01,1171.49,784.48,45.5,91.67,251032.6,203964.0,28554.96,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2026-07-01,Budget,387.98,1174.41,786.44,40.73,91.67,251660.2,204473.9,28626.34,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2026-08-01,Budget,388.95,1177.35,788.4,41.17,91.67,252289.3,204985.1,28697.91,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2026-09-01,Budget,389.92,1180.29,790.38,45.07,91.67,252920.0,205497.5,28769.66,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2026-10-01,Budget,390.89,1183.24,792.35,43.33,91.67,253552.3,206011.3,28841.58,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2026-11-01,Budget,391.87,1186.2,794.33,43.77,91.67,254186.2,206526.3,28913.68,25.0,0.056,0.0375
Lending & Specialised Finance,lending,2026-12-01,Budget,392.85,1189.17,796.32,47.67,91.67,254821.7,207042.6,28985.97,25.0,0.056,0.0375
Markets,other,2025-01-01,Budget,35.0,0.0,0.0,124.2,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2025-02-01,Budget,35.0,0.0,0.0,130.95,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2025-03-01,Budget,35.0,0.0,0.0,143.1,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2025-04-01,Budget,35.0,0.0,0.0,130.95,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2025-05-01,Budget,35.0,0.0,0.0,133.65,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2025-06-01,Budget,35.0,0.0,0.0,141.75,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2025-07-01,Budget,35.0,0.0,0.0,126.9,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2025-08-01,Budget,35.0,0.0,0.0,128.25,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2025-09-01,Budget,35.0,0.0,0.0,140.4,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2025-10-01,Budget,35.0,0.0,0.0,135.0,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2025-11-01,Budget,35.0,0.0,0.0,136.35,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2025-12-01,Budget,35.0,0.0,0.0,148.5,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2026-01-01,Budget,35.0,0.0,0.0,124.2,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2026-02-01,Budget,35.0,0.0,0.0,130.95,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2026-03-01,Budget,35.0,0.0,0.0,143.1,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2026-04-01,Budget,35.0,0.0,0.0,130.95,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2026-05-01,Budget,35.0,0.0,0.0,133.65,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2026-06-01,Budget,35.0,0.0,0.0,141.75,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2026-07-01,Budget,35.0,0.0,0.0,126.9,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2026-08-01,Budget,35.0,0.0,0.0,128.25,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2026-09-01,Budget,35.0,0.0,0.0,140.4,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2026-10-01,Budget,35.0,0.0,0.0,135.0,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2026-11-01,Budget,35.0,0.0,0.0,136.35,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Markets,other,2026-12-01,Budget,35.0,0.0,0.0,148.5,76.67,0.0,90000.0,12600.0,0.0,0.0,0.0
Transaction Banking,deposit,2025-01-01,Budget,191.64,253.47,445.11,98.13,68.33,148370.0,58145.0,8140.3,1.25,0.0205,0.036
Transaction Banking,deposit,2025-02-01,Budget,192.12,254.1,446.22,103.47,68.33,148740.9,58290.4,8160.65,1.25,0.0205,0.036
Transaction Banking,deposit,2025-03-01,Budget,192.6,254.73,447.34,113.07,68.33,149112.8,58436.1,8181.05,1.25,0.0205,0.036
Transaction Banking,deposit,2025-04-01,Budget,193.09,255.37,448.46,103.47,68.33,149485.6,58582.2,8201.51,1.25,0.0205,0.036
Transaction Banking,deposit,2025-05-01,Budget,193.57,256.01,449.58,105.6,68.33,149859.3,58728.6,8222.01,1.25,0.0205,0.036
Transaction Banking,deposit,2025-06-01,Budget,194.05,256.65,450.7,112.0,68.33,150233.9,58875.5,8242.56,1.25,0.0205,0.036
Transaction Banking,deposit,2025-07-01,Budget,194.54,257.29,451.83,100.27,68.33,150609.5,59022.6,8263.17,1.25,0.0205,0.036
Transaction Banking,deposit,2025-08-01,Budget,195.02,257.93,452.96,101.33,68.33,150986.0,59170.2,8283.83,1.25,0.0205,0.036
Transaction Banking,deposit,2025-09-01,Budget,195.51,258.58,454.09,110.93,68.33,151363.5,59318.1,8304.54,1.25,0.0205,0.036
Transaction Banking,deposit,2025-10-01,Budget,196.0,259.23,455.23,106.67,68.33,151741.9,59466.4,8325.3,1.25,0.0205,0.036
Transaction Banking,deposit,2025-11-01,Budget,196.49,259.87,456.36,107.73,68.33,152121.3,59615.1,8346.11,1.25,0.0205,0.036
Transaction Banking,deposit,2025-12-01,Budget,196.98,260.52,457.5,117.33,68.33,152501.6,59764.1,8366.98,1.25,0.0205,0.036
Transaction Banking,deposit,2026-01-01,Budget,197.47,261.17,458.65,98.13,68.33,152882.8,59913.5,8387.9,1.25,0.0205,0.036
Transaction Banking,deposit,2026-02-01,Budget,197.97,261.83,459.8,103.47,68.33,153265.0,60063.3,8408.86,1.25,0.0205,0.036
Transaction Banking,deposit,2026-03-01,Budget,198.46,262.48,460.94,113.07,68.33,153648.2,60213.5,8429.89,1.25,0.0205,0.036
Transaction Banking,deposit,2026-04-01,Budget,198.96,263.14,462.1,103.47,68.33,154032.3,60364.0,8450.96,1.25,0.0205,0.036
Transaction Banking,deposit,2026-05-01,Budget,199.46,263.8,463.25,105.6,68.33,154417.4,60514.9,8472.09,1.25,0.0205,0.036
Transaction Banking,deposit,2026-06-01,Budget,199.95,264.46,464.41,112.0,68.33,154803.4,60666.2,8493.27,1.25,0.0205,0.036
Transaction Banking,deposit,2026-07-01,Budget,200.45,265.12,465.57,100.27,68.33,155190.4,60817.9,8514.5,1.25,0.0205,0.036
Transaction Banking,deposit,2026-08-01,Budget,200.96,265.78,466.74,101.33,68.33,155578.4,60969.9,8535.79,1.25,0.0205,0.036
Transaction Banking,deposit,2026-09-01,Budget,201.46,266.44,467.9,110.93,68.33,155967.4,61122.3,8557.13,1.25,0.0205,0.036
Transaction Banking,deposit,2026-10-01,Budget,201.96,267.11,469.07,106.67,68.33,156357.3,61275.1,8578.52,1.25,0.0205,0.036
Transaction Banking,deposit,2026-11-01,Budget,202.47,267.78,470.24,107.73,68.33,156748.2,61428.3,8599.97,1.25,0.0205,0.036
Transaction Banking,deposit,2026-12-01,Budget,202.97,268.45,471.42,117.33,68.33,157140.0,61581.9,8621.47,1.25,0.0205,0.036
Asset Management,other,2026-05-01,Forecast,4.58,0.0,0.0,97.35,60.83,0.0,11000.0,1540.0,0.0,0.0034,0.00425
Asset Management,other,2026-06-01,Forecast,4.58,0.0,0.0,103.25,60.83,0.0,11000.0,1540.0,0.0,0.0036,0.0045
